# https://www.iana.org/domains/root/db
.abogado 	generic 	Top Level Domain Holdings Limited
.ac 	country-code 	Network Information Center (AC Domain Registry) c/o Cable and Wireless (Ascension Island)
.academy 	generic 	Half Oaks, LLC
.accountants 	generic 	Knob Town, LLC
.active 	generic 	The Active Network, Inc
.actor 	generic 	United TLD Holdco Ltd.
.ad 	country-code 	Andorra Telecom
.adult 	generic 	ICM Registry AD LLC
.ae 	country-code 	Telecommunication Regulatory Authority (TRA)
.aero 	sponsored 	Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
.af 	country-code 	Ministry of Communications and IT
.ag 	country-code 	UHSA School of Medicine
.agency 	generic 	Steel Falls, LLC
.ai 	country-code 	Government of Anguilla
.airforce 	generic 	United TLD Holdco Ltd.
.al 	country-code 	Electronic and Postal Communications Authority - AKEP
.allfinanz 	generic 	Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
.alsace 	generic 	REGION D ALSACE
.am 	country-code 	Internet Society
.amsterdam 	generic 	Gemeente Amsterdam
.an 	country-code 	University of Curacao
.android 	generic 	Charleston Road Registry Inc.
.ao 	country-code 	Faculdade de Engenharia da Universidade Agostinho Neto
.apartments 	generic 	June Maple, LLC
.aq 	country-code 	Antarctica Network Information Centre Limited
.aquarelle 	generic 	Aquarelle.com
.ar 	country-code 	Presidencia de la Nación – Secretaría Legal y Técnica
.archi 	generic 	STARTING DOT LIMITED
.army 	generic 	United TLD Holdco Ltd.
.arpa 	infrastructure 	Internet Architecture Board (IAB)
.as 	country-code 	AS Domain Registry
.asia 	sponsored 	DotAsia Organisation Ltd.
.associates 	generic 	Baxter Hill, LLC
.at 	country-code 	nic.at GmbH
.attorney 	generic 	United TLD Holdco, Ltd
.au 	country-code 	.au Domain Administration (auDA)
.auction 	generic 	United TLD HoldCo, Ltd.
.audio 	generic 	Uniregistry, Corp.
.autos 	generic 	DERAutos, LLC
.aw 	country-code 	SETAR
.ax 	country-code 	Ålands landskapsregering
.axa 	generic 	AXA SA
.az 	country-code 	IntraNS
.ba 	country-code 	Universtiy Telinformatic Centre (UTIC)
.band 	generic 	United TLD Holdco, Ltd
.bank 	generic 	fTLD Registry Services, LLC
.bar 	generic 	Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
.barclaycard 	generic 	Barclays Bank PLC
.barclays 	generic 	Barclays Bank PLC
.bargains 	generic 	Half Hallow, LLC
.bayern 	generic 	Bayern Connect GmbH
.bb 	country-code 	Government of Barbados Ministry of Economic Affairs and Development Telecommunications Unit
.bd 	country-code 	Ministry of Post & Telecommunications Bangladesh Secretariat
.be 	country-code 	DNS Belgium vzw/asbl
.beer 	generic 	Top Level Domain Holdings Limited
.berlin 	generic 	dotBERLIN GmbH & Co. KG
.best 	generic 	BestTLD Pty Ltd
.bf 	country-code 	ARCE-AutoritÈ de RÈgulation des Communications Electroniques
.bg 	country-code 	Register.BG
.bh 	country-code 	Telecommunications Regulatory Authority (TRA)
.bi 	country-code 	Centre National de l'Informatique
.bid 	generic 	dot Bid Limited
.bike 	generic 	Grand Hollow, LLC
